Ns,Ns,"(8, 9)","(12, 13)",中国,中国,"['张爱玲', '，', '这个', '有着', '“', '恶俗不堪', '”', '的', '中国', '女人', '名字', '的', '中国', '女人', '，', '却', '曾', '创造', '了', '战乱', '纷纭', '的', '中国', '，', '20', '世纪', '40', '年代', '文坛', '的', '奇迹', '。']"
Ns,Ns,"(11, 12)","(17, 18)",京,中国,"['从', '官宦', '转', '到', '市民', '，', '就', '像', '洋人', '用', '看', '京', '戏', '的', '眼光', '来', '看待', '中国', '的', '一切', '，', '也', '不失为', '一', '桩', '有', '意味', '的', '事', '。']"
Ns,Ns,"(18, 19)","(23, 24)",中国,中国,"['〖', 'FJJ', '〗', '而', '热爱', '的', '中国', '的', '日月', '，', '纷纭', '、', '刺眼', '、', '神秘', '而', '滑稽', '的', '中国', '的', '人生', '，', '幽古', '中国', '与', '现代', '中国', '和谐', '的', '掺杂', '。']"
Ns,Ns,"(23, 24)","(26, 27)",中国,中国,"['〖', 'FJJ', '〗', '而', '热爱', '的', '中国', '的', '日月', '，', '纷纭', '、', '刺眼', '、', '神秘', '而', '滑稽', '的', '中国', '的', '人生', '，', '幽古', '中国', '与', '现代', '中国', '和谐', '的', '掺杂', '。']"
Nh,BOOK,"(1, 2)","(4, 5)",ZW,《洋人看京戏及其他》,"['〖', 'ZW', '(', '〗', '《洋人看京戏及其他》', '，', 'BOOK4', '卷', '，', 'P.22', '。']"
Nh,Ns,"(1, 2)","(6, 7)",张爱玲,中国,"['\ue004', '张爱玲', '就', '出生', '在', '这', '中国', '大', '时代', '的', '激流', '洪滔', '中', '。']"
Nh,Ns,"(0, 1)","(5, 6)",张爱玲,上海,"['张爱玲', '40', '年代', '初', '在', '上海', '崛起', '的', '时候', '，', '她', '的', '文章', '撼动', '了', '在', '战火', '的', '威胁', '中', '迷惘无策', '的', '人们', '，', '人们', '惊异', '，', '在', '这样', '的', '艰难', '岁月', '中', '居然', '还有', '人', '花心思', '这样', '追忆', '这些', '奢华', '的', '过去', '：', '家传', '的', '首饰', '，', '出嫁', '时', '的', '花袄', '，', '雕花', '的', '家具', '，', '漂亮', '的', '衣料', '，', '整桌', '的', '宴席', '，', '礼节', '繁缛', '的', '迎来送往', '，', '男人', '与', '女人', '之间', '进', '进', '退退', '的', '感情', '演绎', '……']"
Nh,Nh,"(31, 32)","(38, 39)",张佩纶,李鸿章,"['答案', '并', '不', '突兀', '奇怪', '，', '人们', '很快', '就', '明白', '这样', '的', '奇迹', '自', '有', '其', '出现', '的', '足够', '理由', '：', '张爱玲', '是', '清末', '著名', '的', '“', '清', '流派', '”', '代表', '张佩纶', '的', '孙女', '，', '前', '清中堂', '大人', '李鸿章', '的', '重外孙女', '，', '官宦', '世家', '，', '高门', '望族', '，', '她', '就', '是', '见证', '繁华', '辉煌', '、', '体验', '家道', '中', '落', '的', '亲历者', '，', '她', '所', '经历', '的', '家庭', '生活', '的', '一', '幕', '一角', '都', '映现', '着', '时代', '、', '国家', '、', '社会', '、', '革命', '等', '一切', '重大', '题目', '的', '辉煌', '衰败', '、', '沧桑', '变幻', '。']"
Nh,Ns,"(38, 39)","(45, 47)",李鸿章,高门望族,"['答案', '并', '不', '突兀', '奇怪', '，', '人们', '很快', '就', '明白', '这样', '的', '奇迹', '自', '有', '其', '出现', '的', '足够', '理由', '：', '张爱玲', '是', '清末', '著名', '的', '“', '清', '流派', '”', '代表', '张佩纶', '的', '孙女', '，', '前', '清中堂', '大人', '李鸿章', '的', '重外孙女', '，', '官宦', '世家', '，', '高门', '望族', '，', '她', '就', '是', '见证', '繁华', '辉煌', '、', '体验', '家道', '中', '落', '的', '亲历者', '，', '她', '所', '经历', '的', '家庭', '生活', '的', '一', '幕', '一角', '都', '映现', '着', '时代', '、', '国家', '、', '社会', '、', '革命', '等', '一切', '重大', '题目', '的', '辉煌', '衰败', '、', '沧桑', '变幻', '。']"
Ns,BOOK,"(10, 11)","(7, 8)",中国,《孽海花》,"['试想', '，', '当', '曾', '朴', '力图', '用', '《孽海花》', '挽留', '住', '中国', '晚清', '一朝', '从', '庙堂', '到', '江湖', '流散', '的', '底影', '时', '，', '她', '的', '外', '曾', '祖父', '李鸿章', '、', '她', '的', '祖父', '张佩纶', '无可推托', '地', '都', '成为', '书', '中', '的', '主要', '人物', '；']"
Nh,Nh,"(27, 28)","(32, 33)",李鸿章,张佩纶,"['试想', '，', '当', '曾', '朴', '力图', '用', '《孽海花》', '挽留', '住', '中国', '晚清', '一朝', '从', '庙堂', '到', '江湖', '流散', '的', '底影', '时', '，', '她', '的', '外', '曾', '祖父', '李鸿章', '、', '她', '的', '祖父', '张佩纶', '无可推托', '地', '都', '成为', '书', '中', '的', '主要', '人物', '；']"
