Nh,Ns,"(0, 1)","(3, 4)",胡适之,安徽省,"['胡适之', '先生', '是', '安徽省', '绩溪县人', '。']",胡适传.txt
Ns,Ns,"(0, 1)","(7, 8)",绩溪,安徽省,"['绩溪', '，', '旧属', '徽州府', '，', '①', '在', '安徽省', '南部', '，', '秀丽', '的', '黄山', '脚下', '。']",胡适传.txt
Ns,Ns,"(7, 8)","(12, 13)",安徽省,黄山,"['绩溪', '，', '旧属', '徽州府', '，', '①', '在', '安徽省', '南部', '，', '秀丽', '的', '黄山', '脚下', '。']",胡适传.txt
Nh,Nh,"(8, 9)","(10, 11)",朱熹,胡仔,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(8, 9)","(12, 13)",朱熹,江永,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(8, 9)","(14, 15)",朱熹,戴震,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(10, 11)","(12, 13)",胡仔,江永,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(10, 11)","(14, 15)",胡仔,戴震,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(10, 11)","(16, 17)",胡仔,俞正燮,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(12, 13)","(14, 15)",江永,戴震,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(12, 13)","(16, 17)",江永,俞正燮,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(12, 13)","(18, 19)",江永,凌廷堪,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
Nh,Nh,"(14, 15)","(16, 17)",戴震,俞正燮,"['三', '、', '重', '文化教育', '，', '出', '了', '像', '朱熹', '以及', '胡仔', '、', '江永', '、', '戴震', '、', '俞正燮', '、', '凌廷堪', '、', '胡培\ue3f9', '等', '许多', '著名', '学者', '。']",胡适传.txt
